"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Dumbbell Squeeze Press",,"",0,"warmup",20,8,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Dumbbell Squeeze Press",,"",1,"warmup",30,8,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Dumbbell Squeeze Press",,"",2,"normal",40,12,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Dumbbell Squeeze Press",,"",3,"normal",40,12,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Dumbbell Squeeze Press",,"",4,"normal",40,10,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Dumbbell Squeeze Press",,"",5,"normal",40,8,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Dumbbell Squeeze Press",,"",6,"normal",40,7,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Seated Overhead Press (Dumbbell)",,"",0,"normal",15,10,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Seated Overhead Press (Dumbbell)",,"",1,"normal",20,10,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Seated Overhead Press (Dumbbell)",,"",2,"normal",20,12,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Seated Overhead Press (Dumbbell)",,"",3,"normal",20,12,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Lateral Raise (Dumbbell)",,"",0,"normal",15,15,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Lateral Raise (Dumbbell)",,"",1,"normal",15,15,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Lateral Raise (Dumbbell)",,"",2,"normal",15,15,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Lateral Raise (Dumbbell)",,"",3,"normal",15,15,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Triceps Rope Pushdown",,"",0,"dropset",20,18,,,
"PPUL-1","30 Mar 2026, 07:19","30 Mar 2026, 08:23","","Triceps Rope Pushdown",,"",1,"dropset",20,7,,,
